사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2023-04,1호선,0150,서울역,"1,332,718","1,270,254","217,525","207,338",2023-05-03 10:27:53
2023-04,1호선,0151,시청,"642,597","647,250","96,416","94,082",2023-05-03 10:27:53
2023-04,1호선,0152,종각,"923,198","904,949","143,472","133,863",2023-05-03 10:27:53
2023-04,1호선,0153,종로3가,"487,157","438,797","304,625","282,190",2023-05-03 10:27:53
2023-04,1호선,0154,종로5가,"471,855","470,399","255,817","247,162",2023-05-03 10:27:53
2023-04,1호선,0155,동대문,"229,644","223,394","125,974","126,273",2023-05-03 10:27:53
2023-04,1호선,0156,신설동,"285,693","274,762","119,333","115,973",2023-05-03 10:27:53
2023-04,1호선,0157,제기동,"232,674","222,285","277,194","297,591",2023-05-03 10:27:53
2023-04,1호선,0158,청량리(서울시립대입구),"345,292","340,230","259,065","258,269",2023-05-03 10:27:53
2023-04,1호선,0159,동묘앞,"145,465","153,478","164,781","167,005",2023-05-03 10:27:53
2023-04,2호선,0201,시청,"646,021","603,305","59,602","53,559",2023-05-03 10:27:53
2023-04,2호선,0202,을지로입구,"1,208,103","1,244,442","100,389","93,336",2023-05-03 10:27:53
2023-04,2호선,0203,을지로3가,"608,969","603,545","78,137","76,554",2023-05-03 10:27:53
2023-04,2호선,0204,을지로4가,"311,136","320,574","77,137","75,933",2023-05-03 10:27:53
2023-04,2호선,0205,동대문역사문화공원(DDP),"367,063","427,158","57,869","63,260",2023-05-03 10:27:53
2023-04,2호선,0206,신당,"337,378","354,767","96,292","98,322",2023-05-03 10:27:53
2023-04,2호선,0207,상왕십리,"348,239","330,794","68,456","68,597",2023-05-03 10:27:53
2023-04,2호선,0208,왕십리(성동구청),"426,623","366,325","53,457","47,196",2023-05-03 10:27:53
2023-04,2호선,0209,한양대,"356,708","398,617","14,637","15,531",2023-05-03 10:27:53
2023-04,2호선,0210,뚝섬,"639,617","665,980","61,914","61,482",2023-05-03 10:27:53
2023-04,2호선,0211,성수,"993,946","1,101,383","104,007","106,162",2023-05-03 10:27:53
2023-04,2호선,0212,건대입구,"1,025,199","1,078,266","94,192","98,513",2023-05-03 10:27:53
2023-04,2호선,0213,구의(광진구청),"584,192","566,111","104,723","105,943",2023-05-03 10:27:53
2023-04,2호선,0214,강변(동서울터미널),"811,412","768,332","125,299","122,026",2023-05-03 10:27:53
2023-04,2호선,0215,잠실나루,"336,278","327,194","88,806","88,864",2023-05-03 10:27:53
2023-04,2호선,0216,잠실(송파구청),"2,159,887","2,136,298","224,300","211,319",2023-05-03 10:27:53
2023-04,2호선,0217,잠실새내,"563,086","564,328","112,721","111,347",2023-05-03 10:27:53
2023-04,2호선,0218,종합운동장,"398,632","443,109","63,667","64,144",2023-05-03 10:27:53
2023-04,2호선,0219,삼성(무역센터),"1,426,493","1,446,829","117,190","109,666",2023-05-03 10:27:53
2023-04,2호선,0220,선릉,"1,285,364","1,134,640","214,121","188,513",2023-05-03 10:27:53
2023-04,2호선,0221,역삼,"1,209,268","1,386,567","143,611","146,499",2023-05-03 10:27:53
2023-04,2호선,0222,강남,"2,087,262","2,036,135","153,363","135,021",2023-05-03 10:27:53
2023-04,2호선,0223,교대(법원.검찰청),"734,519","870,036","150,293","176,479",2023-05-03 10:27:53
2023-04,2호선,0224,서초,"550,779","514,715","89,960","87,154",2023-05-03 10:27:53
2023-04,2호선,0225,방배,"450,711","469,405","78,520","77,749",2023-05-03 10:27:53
2023-04,2호선,0226,사당,"957,076","1,087,682","218,098","210,687",2023-05-03 10:27:53
2023-04,2호선,0227,낙성대(강감찬),"712,606","684,086","110,334","111,528",2023-05-03 10:27:53
2023-04,2호선,0228,서울대입구(관악구청),"1,210,925","1,176,518","180,920","172,352",2023-05-03 10:27:53
2023-04,2호선,0229,봉천,"552,430","503,290","150,141","149,872",2023-05-03 10:27:53
2023-04,2호선,0230,신림,"1,469,914","1,408,666","202,776","200,691",2023-05-03 10:27:53
2023-04,2호선,0231,신대방,"630,359","603,355","134,165","136,723",2023-05-03 10:27:53
2023-04,2호선,0232,구로디지털단지,"1,456,156","1,432,544","184,979","186,268",2023-05-03 10:27:53
2023-04,2호선,0233,대림(구로구청),"591,615","604,754","135,279","139,559",2023-05-03 10:27:53
2023-04,2호선,0234,신도림,"1,243,293","1,239,147","219,513","207,841",2023-05-03 10:27:53
2023-04,2호선,0235,문래,"524,427","544,434","86,123","85,993",2023-05-03 10:27:53
2023-04,2호선,0236,영등포구청,"506,033","524,003","100,937","100,538",2023-05-03 10:27:53
2023-04,2호선,0237,당산,"488,264","565,888","62,592","68,604",2023-05-03 10:27:53
2023-04,2호선,0238,합정,"906,332","1,003,786","72,826","74,064",2023-05-03 10:27:53
2023-04,2호선,0239,홍대입구,"1,942,056","2,078,739","97,947","94,746",2023-05-03 10:27:53
2023-04,2호선,0240,신촌,"1,025,389","1,046,327","121,845","120,011",2023-05-03 10:27:53
2023-04,2호선,0241,이대,"468,241","505,293","49,949","52,435",2023-05-03 10:27:53
2023-04,2호선,0242,아현,"254,760","236,411","65,455","64,317",2023-05-03 10:27:53
2023-04,2호선,0243,충정로(경기대입구),"234,133","251,568","48,554","48,640",2023-05-03 10:27:53
2023-04,2호선,0244,용답,"72,892","73,079","17,688","17,603",2023-05-03 10:27:53
2023-04,2호선,0245,신답,"38,588","42,219","10,124","10,721",2023-05-03 10:27:53
2023-04,2호선,0246,신설동,"82,163","78,693","34,282","35,656",2023-05-03 10:27:53
2023-04,2호선,0247,도림천,"28,372","30,250","8,511","9,443",2023-05-03 10:27:53
2023-04,2호선,0248,양천구청,"152,138","159,847","52,326","53,171",2023-05-03 10:27:53
2023-04,2호선,0249,신정네거리,"228,661","235,776","74,420","75,923",2023-05-03 10:27:53
2023-04,2호선,0250,용두(동대문구청),"46,587","44,895","23,247","24,224",2023-05-03 10:27:53
2023-04,3호선,0309,지축,"154,466","150,940","32,744","31,551",2023-05-03 10:27:53
2023-04,3호선,0310,구파발,"501,374","487,720","124,909","121,293",2023-05-03 10:27:53
2023-04,3호선,0311,연신내,"773,388","728,312","260,702","251,853",2023-05-03 10:27:53
2023-04,3호선,0312,불광,"346,915","371,075","141,934","157,131",2023-05-03 10:27:53
2023-04,3호선,0313,녹번,"377,964","332,916","79,558","78,519",2023-05-03 10:27:53
2023-04,3호선,0314,홍제,"395,171","371,190","145,471","143,140",2023-05-03 10:27:53
2023-04,3호선,0315,무악재,"94,209","90,714","32,004","34,148",2023-05-03 10:27:53
2023-04,3호선,0316,독립문,"150,252","159,525","71,427","72,403",2023-05-03 10:27:53
2023-04,3호선,0317,경복궁(정부서울청사),"678,110","700,213","102,988","104,803",2023-05-03 10:27:53
2023-04,3호선,0318,안국,"690,953","727,344","106,241","110,199",2023-05-03 10:27:53
2023-04,3호선,0319,종로3가,"235,141","283,445","62,138","68,969",2023-05-03 10:27:53
2023-04,3호선,0320,을지로3가,"271,196","278,146","50,048","48,220",2023-05-03 10:27:53
2023-04,3호선,0321,충무로,47,0,2,0,2023-05-03 10:27:53
2023-04,3호선,0322,동대입구,"280,558","316,709","46,398","51,698",2023-05-03 10:27:53
2023-04,3호선,0323,약수,"299,071","290,879","83,661","79,100",2023-05-03 10:27:53
2023-04,3호선,0324,금호,"181,219","163,145","55,516","54,002",2023-05-03 10:27:53
2023-04,3호선,0325,옥수,"203,786","209,300","61,058","61,403",2023-05-03 10:27:53
2023-04,3호선,0326,압구정,"767,248","842,163","140,306","139,013",2023-05-03 10:27:53
2023-04,3호선,0327,신사,"743,363","778,417","69,068","67,522",2023-05-03 10:27:53
2023-04,3호선,0328,잠원,"116,065","109,713","30,853","29,510",2023-05-03 10:27:53
2023-04,3호선,0329,고속터미널,"1,251,110","1,195,125","208,072","200,531",2023-05-03 10:27:53
2023-04,3호선,0330,교대(법원.검찰청),"370,783","228,662","79,091","45,272",2023-05-03 10:27:53
2023-04,3호선,0331,남부터미널(예술의전당),"719,276","730,789","124,392","126,069",2023-05-03 10:27:53
2023-04,3호선,0332,양재(서초구청),"886,495","979,952","152,961","152,920",2023-05-03 10:27:53
2023-04,3호선,0333,매봉,"278,715","272,460","65,722","61,784",2023-05-03 10:27:53
